呵	口可kk
㠽	巾冬jd
㣚	彳同xt
㣠	彳冬xd
㤏	心冬xd
㪌	.wy
㮔	木重mv
㸗	父同ft
㼧	瓦甬wy
㼿	瓦童wt
䂈	矛虫mi
䆚	穴同xt
䆹	穴童xt
䮵	馬童mt
䳋	鳥虫ni
䴀	鳥童nt
䶱	冬龜dg
偅	亻重rv
峝	山同ut
庝	广冬gd
晍	日同ot
氃	毛童mt
犝	牛童nt
獞	犭童qt
眮	目同ot
硧	石甬uy
秱	禾同ht
粡	米同mt
蓪	艹通ct
蚒	虫丹id
詷	言同yt
赨	赤虫ii
餇	飠同ut
鮦	魚同yt
𠖄	冖同bt
𡠙	女通nt
𡦜	子童zt
𢄟	巾通jt
𢈉	广同gt
𢏕	弓同gt
𢳟	扌通ft
𣌾	申東ud
𣑸	木同mt
𣪯	殳宫ug｜宫殳gu
𣻢	氵通dt
𤱇	田父tf｜父田ft
𤺄	疒童bt
𥦁	穴甬xy
𥩌	穴空xk｜空空kk
𥫂	旬童xt
𥲆	竹通vt
𦏆	羊童yt
𦨴	舟同vt
𧇌	虎同ht
𧊚	虫同it
𧋚	人虫ri
𧌝	.ii
𧳆	豸同vt
𧳿	豸乚vg
𨀜	足同zt
𨈹	身同ut
𨚯	.et｜同阝te
𨜳	.eg｜宫阝ge
𨝯	.et｜童阝te
𨠌	酉冬yd
𩍅	革童gt
𩩅	骨同gt
𩻡	魚童yt
𪀭	鳥同nt｜同鳥tn
𪌢	麥同mt
頭	豆頁dy｜頁豆yd
愉	心俞xy
亠	丶一da｜{亠}wf
黈	黄主hv
偸	.rd｜亻俞ry
紏	糸斗sd
鍮	金俞jy
媮	女俞ny
敨	攵口wk｜攵咅wp
飳	飠主uv
妵	女主nv
㓱	刂俞dy
㕻	丶否df
㖣	.kp
㢏	.gy
㪗	.wp
䚵	言斗yd
䞬	走秀zx
䟝	足殳zu
䱏	魚豆yd
䵉	麻俞my
婾	.nd｜女俞ny
蘣	艹主cv
𡇧	.kd
𡷠	山投ut
𣛾	木厶ms｜杼厶vs
𧺢	走殳zu
𨔙	辶石zu
𨯲	金頭jt
𨱎	钅俞jy
𨷩	門頭mt
𩜶	飠俞uy
𩿢	鳥主nv｜主鳥vn
𪁞	鳥豆nd｜豆鳥dn
𪉘	.lu｜卜殳bu
𪌘	麥主mv
𪎨	麻俞my｜俞麻ym
圖	口回kh｜囗{圖}kt
図	.kd｜囗义ky
塗	涂土tt
兎	丿丶pd
禿	禾儿he
鵌	鳥余ny
汢	氵土dt
瘏	疒者bv
駼	馬余my
圗	囗回kh
墿	土幸tx
嵞	山余uy｜余山yu
涋	氵犬dq｜.dt
蒤	艹涂ct
圡	土丶td
莵	艹丶cd
湥	氵突dt
潳	氵屠dt
筡	竹余vy
釷	金土jt
鈯	金出ji
鋵	金秃jt
鍎	金盾jd
㟮	山突ut
㭸	.md｜木兔mt
㻌	王余wy
㻠	王突wt
㻯	王乎wh
䅷	禾荼ht
䖘	虎兔ht
䠈	足隶zl
䣄	耳余ey
䣝	耳屠et
䤅	酉俞yy
䳜	鳥余ny
唋	口余ky
堗	土突tt
峹	山余uy
嶀	山亏uk｜山雩uy
庩	广余gy
廜	广屠gt
悇	心余xy
捸	扌隶fl
揬	扌突ft
痜	疒秃bt
跿	足走zz
迌	辶月zo
馟	香孚xf
鵚	鳥秃nt
鵵	鳥兔nt
鶟	鳥突nt
鷋	鳥荼nt｜鳥余ny
鷵	鳥屠nt
鼵	鼠突ut
𠊲	亻突rt｜.ry
𠞀	.dk｜穴刂xd
𠟶	.dk
𠫓	厶一sa｜.sw
𠫮	.js
𠳶	口秃kt
𠸂	口突kt
𠻬	口荼kt
𡇩	.kv
𡸂	山余uy
𡺴	.uk
𢝀	心突xt
𢬳	扌秃ft
𣅝	日又oy
𣈥	日俞oy
𣒇	木秃mt
𣥳	止余vy
𣲱	火水hu｜水火uh
𤙛	牛余ny
𤟪	犭突qt｜犬穴qx
𤷿	.bq｜疒突bt
𥂋	皿涂mt｜涂皿tm
𥧣	穴茶xi
𥨜	弆突jt
𥯝	𥫗突vt
𦔅	耒突lt
𦝬	月突ot
𦩤	舟突vt
𧛗	衤突yt
𧧶	言余yy
𧳌	豸秃vt
𨑒	辶土zt
𨙭	.et｜土阝te
𨝛	.et｜荼阝te
𨢬	酉荼yt
𨨷	金突jt
𨴩	門余my
𩣮	馬兔mt
𩥽	馬途mt
𩸃	魚兔yt
𪑏	黑余hy
揣	扌而fe
団	囗寸kc
團	囗專kv
漙	氵專dv
糰	米團mt
摶	扌專fv
圕	囗書ku
鏄	金專jv
剸	刂專dv
畽	田重tv
篿	𥫗專vv
褖	衤彖yt｜衤豕yu
㩛	扌團ft
䊜	米專mv
䜝	.yj
䝎	豕耑ud
䵎	黄耑hd
䵯	黑重hv
塼	土專tv
慱	心專xv
檲	木團mt
貒	豸而ve
鷒	鳥專nv
鷻	鳥敦nd
𡁴	口團kt
𢣎	.xj｜忄幺xy
𣶣	.dv
𧐕	虫專iv
𧓘	虫團it
𧰄	享豈xq
𧳩	.vh｜豸彖vt
𧽢	走專zv
𨪒	金号jh
𩃘	雨厶ys
𩘯	風專fv
𩜵	食耑ud
𩠹	首斷ud
𪈋	亠鳥wn｜鳥夂nw
𪏖	黄而he
隤	耳貴eg
弚	.bd
俀	亻妥rt
頽	頁秃yt
頹	頁儿ye｜頁秃yt
蓷	艹推ct
侻	亻兑rd
尵	尢貴yg
蛻	虫兑id
娧	女兑nd
蹆	足退zt
㞂	.wt
㢈	.gv
㢑	.gs
㱣	歹妥dt
㷟	火追hv
㾯	疒畏bw
㾼	疒退bt
㾽	疒追bv
㿉	疒貴bg
㿗	.bt
䀃	皿豕mu
䅪	禾贵hg
䍾	.yj
䫋	頁委yw
僓	亻貴rg
穨	貴禿gt
聉	耳出ei
藬	艹貴cg｜艹隤ct
蘈	艹頹ct
讉	言遺yy
蹪	足貴zg
頺	頁秀yx
駾	馬兑md
骽	骨妥gt
𠺙	口退kt
𡷜	.ev｜山主uv
𢉭	.gs
𢊮	广貴gg
𢟴	.xd｜忄隹xv
𢠮	.xj｜.xu
𤗴	片貴pg
𤸉	.bs
𥲣	𥫗斤vj
𥶐	竹隤vt
𦖦	耳頁ey
𦜄	月夂ow
𧆸	虎灬hh
𧝋	衤敦yd
𧮓	言魋yt
𨆨	足貴zg
𨌴	車隹iv
𨗞	辶回zh
𨘃	辶官zg
𨽟	阝遺ey
𩓬	.yw｜頁木ym｜勿頁wy
𩘺	風貴fg
氽	人水ru｜水人ur
涒	氵君dj
魨	魚屯yt
軘	車屯it
旽	日屯ot
朜	月享ox
㖔	口吞kt
㞘	.ui
㩔	扌殿fd
㹠	犭屯qt
㼊	瓜屯gt
臋	肉殿rd｜肉殳ru
蛌	虫瓜ig
豘	豕屯ut
霕	雲屯yt
飩	食屯ut
黗	黑屯ht
𠭿	.ya｜.yy｜又巾yj
𡉒	土一ta
𢞋	.xr｜心吞xt｜亻心rx
𢥽	.xt｜黑心hx｜心重xv
𣋄	昔享xx
𣵞	氵吞dt
𤶕	疒吞bt
𥸵	米屯mt
𦍓	羊一ya
𦜯	月灬oh
𦜴	股月go
𦟓	月月oo
𦟙	月灬oh
𧑒	虫敦id
𧰭	豕一ua
𨁇	足吞zt
𨧐	金吞jt
𨳘	門屯mt
𨹙	阝吞et
𩂄	雨屯yt
𩖤	風屯ft
𩷵	魚吞yt
𪌋	麥屯mt
𪎴	黄一ha
𪎶	黄屯ht
𪏆	黄享hx｜享黄xh
𪑒	黑享hx
託	言七yq｜言乇yt
讬	讠七yq｜讠乇yt
乇	丿七pq
驒	馬單md
脫	月兑od
杔	木七mq｜.mt
騨	馬单md
彵	彳也xy
鼉	黽一ma｜口黽km
鮀	魚它yt
陁	耳也ey
鵎	鳥妥nt
槖	木石mu｜士木um
跅	足斥zi
橢	木日mo｜木隋ms
駝	馬它mt
袥	衤石yu
拕	扌它ft
饦	食七uq｜饣乇ut
駞	馬也my
涶	氵垂di
咜	口它kt
嫷	女隋ns
毻	毛月mo｜.my
紽	糸它st
詑	言它yt
驝	馬木mm｜.mt
汑	氵七dq｜.dt
莌	艹兑cd
阤	耳也ey
㟎	山妥ut
㸰	牛它nt
㸱	.nt
㼠	瓦它wt
㾃	疒它bt
䍫	羊它yt
䓕	艹远cy
䡐	車它it
䪑	韋它wt
䭾	馬犬mq
䰿	.yt
䴱	麥它mt
咃	口他kt
堶	土月to
岮	山它ut
嶞	山隋us
撱	扌隋fs
楕	木月mo
毤	.my
狏	犭也qy
砤	石也uy
碢	石咼ug｜石口uk
籜	𥫗擇vz
蘀	艹擇cz
袉	衤它yt
飥	飠七uq｜飠乇ut
馲	馬七mq｜馬乇mt
魠	魚七yq｜魚乇yt
鮵	魚兑yd
鰖	.yy
鴕	鳥它nt
鼧	鼠它ut
𠰹	.kt
𠴻	.kt
𡐏	亻土rt｜土月to
𡛵	女正nv｜正女vn
𡩆	束它ut
𡹬	山咼ug
𢄿	巾石ju｜十巾uj
𢏜	弓多gd
𢑠	𫜹也xy
𢓰	彳妥xt
𢩷	.uv
𢩻	.fy｜扌么fm
𢸨	扌橐ft
𣗸	囟木xm｜木比mb
𣟁	木墮md
𣟄	木橐mt
𣮆	兑毛dm
𣶦	.dd
𣷿	氵月do
𤝛	犭它qt
𤣯	.wv｜王七wq
𤤩	.wt｜王也wy
𤱡	甬也yy
𤱧	田朵td
𤹢	疒而be
𥓿	石月uo
𥞒	禾它ht
𥩀	穴橐xt
𦑑	.yx｜心羽xy
𦚐	月它ot
𦝦	月月oo
𧔳	.lk
𧕦	.dk｜虫虫ii｜單虫di
𧜲	衤月yo
𧣖	角它jt
𧤓	角月jo
𧦧	.yt
𧦭	言他yt
𧧉	.yd｜言七yq
𧿧	足斤zj
𧿶	足也zy
𨁡	足妥zt
𨂫	足屮zc
𨈷	身它ut
𨉋	身兑ud
𨞌	卯阝me
𨠑	.yt｜酉也yy
𨹔	阝色es
𨺖	阝尤ey
𩃰	.yt
𩃱	雨沱yt
𩅡	雨隋ys
𩉺	革它gt
𩎼	韋陀wt
𩟰	飠橐ut
𩢊	馬力ml
𩢵	馬宅mv
𩧐	馬橐mt
𩱾	.gv｜鬼七gq
𩿽	.tn｜鳥也ny｜𠂉鳥rn
𪌂	.mv
𪘕	齒佗it｜佗齒ti
𪘗	齒也iy｜亻齒ri
漥	氵圭dg
婠	女官ng
嗢	口昷kw
窪	穴洼xw
襪	衤蔑ym
啘	口宛kw
媧	女咼ng｜女口nk
咓	口瓦kw
搲	.fg
溛	.dg｜氵窊dw
韤	韋蔑wm
㧚	扌瓦fw
㰪	欠圭qg
㼘	瓦山wu
䎳	耳月eo
䚴	言月yo
䠚	足窊zw
䯉	骨欠gq
䵷	黽圭mg
劸	力圭lg
屲	丿山pu
攨	扌瓜fg
瓾	瓦委ww
砙	石瓦uw
穵	穴乙xy｜宀乙by
膃	月皿om｜月昷ow
邷	耳瓦ew
韈	革蔑gm
鼃	黽圭mg｜.zh
𠴺	口儿ke
𠹁	口窊kw
𡁌	.kw｜口欠kq
𡚟	大難dn
𡧗	宀瓦bw
𣐎	木瓦mw
𣢉	欠化qh｜化欠hq
𣢚	欠瓜qg
𤬦	.wb
𤬿	瓦圭wg｜圭瓦gw
𤮰	.ws
𤿗	皮末pm
𥤺	穴手xu
𥥟	穴瓦xw
𦘍	.eg｜耳闋eq
𦘵	月九oj
𦚩	月朵od
𦞭	月窊ow
𦤙	.gi｜臬出ni
𦫪	色窊sw｜窊色ws
𧧊	言卮yv
𨀄	足瓦zw
𨩶	金冠jg
𩋘	革隹gv
𩨚	骨女gn
𩨾	骨危gw
𩩤	骨亞gy
𩿺	瓦鳥wn｜鳥瓦nw
喎	口咼kg｜口口kk
竵	.lg
㖞	口呙kg
䠿	身貴ug
顡	頁豕yu｜.yy
𠨃	男外nw
𠰻	口外kw
𢱉	扌歪fw
𤟷	犭歪qw
𤤫	王外ww
𤷹	疒及bj
𨈕	身阝ue
𨵞	門乖mg
𩔀	.ys｜頁豕yu｜丷頁by
𩕕	.ym｜艹頁cy｜頁朋yp
𪉭	.lw｜卜畏bw
𪑷	黑巾hj
萬	艹禺cy
灣	氵弓dg｜氵彎dw
毌	乛一aa｜乛一vh
妧	女元ny
卐	乛一aa｜乛一vh
晩	日免om
杬	木元my
彎	弓糸gs｜言弓yg
涴	氵宛dw
盌	皿⺋me｜皿夗my
晼	日宛ow
翫	.yb｜.yx｜.yy
刓	刂元dy
輓	車免im
紈	糸丸sw
蚖	虫元iy
唍	口完kw
綰	糸官sg
鋺	金宛jw
踠	足宛zw
頑	元頁yy
夗	夕卩xe｜.ex
抏	扌元fy
汍	氵丸dw
岏	山元uy
捖	扌完fw
睕	目宛ow
贎	貝萬bw
輐	車完iw
埦	土宛tw
潫	.dj｜氵糸ds
箢	竹宛vw
鋔	金免jm
錽	金夂jw
㝴	寸元cy
㸘	.ft
㽜	.ty
䂺	石果ug
䅋	.hg｜禾免hm
䖤	.iy
䗕	.iw
䘼	衤宛yw
䛷	言宛yw
䝹	貝宛bw
䥑	金麥jm
䩊	面宛mw
䯈	骨元gy
䳃	.ny
倇	亻宛rw
壪	土彎tw
帵	巾宛jw
忨	心元xy
惌	宀怨by｜.xw
捥	扌宛fw
杤	木万mw
梚	木免mm
琓	王完ww
瞣	目患oh
笂	𥫗丸vw
綩	糸宛sw
脕	月免om
萖	艹兒ce
蟃	虫曼im
貦	貝元by
贃	貝患bh
𠒢	元兔yt
𠝪	夂刂wd
𠠪	.dl｜糸刀sd｜刀糸ds
𠣉	需勉xm
𡆅	.kz｜口夂kw
𡇿	.kl
𡤶	女彎nw
𡩄	宀勉bm
𡸥	山宛uw
𢀗	工乚gg｜亅乚ag
𢓃	彳丸xw
𢓆	彳元xy
𢛙	忄穹xq
𢨔	.gj｜戈僉gq｜僉戈qg
𢯲	.un
𢺯	扌彎fw
𣡩	木彎mw
𣥃	止乚vg
𤗍	片宛pw
𤥙	王又wy
𤧩	.ny
𤻆	疒頑bw
𥆶	目手ou
𥝄	.rg｜.ry
𥟶	禾宛hw
𥤸	穴元xy
𥿎	.sy
𦂔	糸勉sm
𦙵	夕月xo
𦜐	月官og
𦣾	自兀zw
𦲯	.cm｜艹夂cw
𦽞	艹元cy
𧚇	衤免ym
𧠆	.zr｜自儿ze
𧯡	.dy｜夕豆xd
𧿙	足元zy
𨈊	足彎zw
𨉝	身宛uw
𨌔	車兑id
𨞼	.em｜蔓阝me
𨩯	金勉jm
𨩵	金反jf
𨩻	金夂jw
𩈬	面官mg
𩊁	.gy
𩢄	馬元my
𩣵	馬宛mw
𩾞	鳥丸nw｜丸鳥wn
𪂦	.wn
𪂧	丿宛pw
𪋅	鹿宛lw
𪎛	.my
𪐬	黑元hy
𪑉	黑又hy
罒	.aa｜.si
網	糸罔sw
亾	.ra｜.rv
仼	亻王rw
迬	辶主zv
朢	王月wo
莣	艹忘cw
彺	彳王xw
徃	彳生xu
罓	冂㐅ki｜.kw
瀇	氵廣dg
兦	入𠃊ra｜入𠃊rv
尫	兀王ww
尣	八儿be
㓁	.br
㲿	.dy
㳹	氵枉dw
㴏	氵王dw
䋄	糸冈sg
䋞	糸网sw
䛃	言元yy
䤑	酉黄yh
䰣	鬼网gw
尩	.ph｜.we｜.ww
暀	日往ow
棢	木罔mw
罖	罒丶sd
菵	艹罔cw
蚟	虫王iw
蛧	虫网iw
蝄	虫罔iw
誷	言罔yw
輞	車罔iw
𠕿	冖化bh
𡔞	亡壬wr｜亡土wt
𡝝	女汪nw｜汪女wn
𡯁	丿一pa
𡷢	山忘uw
𢁶	巾又jy
𢛛	忄往xw
𢼟	.wf｜.wk｜攴王pw｜屮攴cp
𣢫	.qf｜屮欠cq｜欠王qw
𣥊	止亡vw｜亡止wv
𣷪	氵主dv
𤷀	疒尪bw
𥆚	目汪ow
𥆜	目往ow
𥝍	禾一ha
𥲠	𥫗望vw
𥾼	糸了sl
𦓋	.hh｜老老ll
𦖉	耳罔ew
𦣦	臣臣ii
𦣩	.ii｜臣丨ia
𦬣	艹又cy
𦯌	艹心cx
𧈿	虫冈ig
𧎕	.bt｜北蚕bc
𧧄	言妄yw
𧧜	言网yw
𧫢	言望yw
𨕿	辶王zw
𨳠	門冈mg
𩖩	風又fy
𩵭	魚王yw
𪁘	鳥汪nw｜汪鳥wn
為	丶灬dh
爲	爫灬vh
遗	辶贵zg
謂	言胃yw
倭	亻委rw
違	辶韋zw
維	糸隹sv
圍	囗韦kw
衛	彳亍xi｜行韋xw
暐	日韋ow
偉	亻韋rw
蒍	艹爲cw
衞	.xb｜彳亍xi
韋	乛丨aa｜乛丨vu｜𫝀㐄wf
偽	亻爲rw
僞	亻爲rw
梶	木尾mw
軎	車口ik｜.ki
痏	疒有by
鮪	魚有yy
緯	糸韋sw
蜼	虫隹iv
頠	頁危yw
餵	食畏uw
愄	忄畏xw
闈	門韋mw
骫	骨丸gw
渨	氵畏dw
潙	氵爲dw
苿	艹未cw
轊	車彗ih
韙	是韋uw
峞	山危uw
湋	氵韋dw
蝟	虫胃iw
餧	飠委uw
壝	土遺ty
崣	山委uw
幃	巾韋jw
懀	心會xh
椳	木畏mw
癓	疒微bw
葦	艹韋cw
葨	艹畏cw
詴	言有yy
韡	韋華wh
颹	風韋fw
鮠	魚危yw
寪	宀爲bw
徫	彳韋xw
浘	氵尾dw
溈	氵爲dw
潿	氵圍dw
濰	氵維dw
烓	火圭hg
煒	火韋hw
熭	火彗hh
燰	火愛ha
諉	言委yw
鍏	金韋jw
鍡	金畏jw
鏏	金彗jh
鮇	魚未yw
㕒	厂義iy
㖐	.ly
㞇	.ww
㞑	尸丶ud
㟪	山畏uw
㠕	.uw
㢻	弓委gw
㣲	彳攵xw
㥜	忄胃xw
㦣	心衛xw
㧑	扌为fw
㨊	.fr
㬙	日爲ow
㭏	木韦mw
㱬	歹畏dw
㷉	.ch
䃬	石嵬uw
䈧	𥫗爲vw
䉠	𥫗微vw
䑊	月遺oy
䔺	艹隋cs
䗽	虫維iw
䘙	.xi
䙿	見未jw
䜅	言崔yc
䜜	言睿yr
䝐	豕隋us
䞔	赤尾iw
䡺	車慧ih
䥩	金微jw
䪋	革遺gy
䪘	韋是wu
䬐	風委fw
䬑	風胃fw
䬿	食尾uw
䭳	香魏xw
䮹	馬歲ms
䲁	魚尉yw
䵋	黄有hy
䵳	黑會hh
儰	亻蔿rw
厃	.di
叞	又示yu
唩	口委kw
喡	口韋kw
喴	口威kw
墛	土尉tw
媁	女韋nw
媙	女威nw
媦	女胃nw
屗	.cw｜.uc
嵔	山畏uw
嶉	山唯uw
嶶	山微uw
愇	心韋xw
捤	扌尾fw
揋	扌畏fw
揻	扌威fw
楲	木威mw
欈	木冏mj｜.mk
犚	牛尉nw
犩	牛魏nw
猚	犭隹qv
瑋	王韋ww
矀	目微ow
緭	糸胃sw
縅	糸威sw
罻	罒尉sw
腲	月畏ow
芛	艹尹cy
荱	艹尾cw
菋	艹味cw
蓶	艹唯cw
蔿	艹爲cw
藯	艹慰cw
蘶	艹魏cw
蜲	虫委iw
蝛	虫威iw
褽	衣尉yw
覣	見委jw
覹	見微jw
讆	言衛yw
讏	言衛yw
踓	足隹zv
躗	足衛zw
躛	足衛zw
鄬	耳爲ew
醀	酉隹yv
隇	耳威ew
霺	雨微yw
韑	光韋gw
饖	食歲us
骩	骨九gj
骪	骨凡gf
鰃	魚畏yw
鰄	魚威yw
𠄿	二圍ew
𠆟	.wg
𠙕	几口jk
𠥎	匚韋kw
𠳿	口尾kw
𠹤	口恚kh
𡂗	口冏kj
𡇦	.kn
𡔱	.du｜士大ud
𡚈	.pt
𡶎	山未uw
𡷕	山尾uw
𡼱	山圍uw
𢉝	广畏gw
𢊯	广爲gw
𢍚	十畀ub
𢣘	心維xw｜維心wx
𢲴	手尉uw｜尉手wu
𢸦	扌遺fy
𢼸	山攵uw
𢾁	.ww
𣄺	{无}爲ww
𣈎	日杀ou
𣨙	歹委dw
𣩪	歹歲ds
𣫪	土會th｜殳會uh
𣽴	氵喟dk
𤀷	津育jy
𤁿	氵胃dw
𤛲	牛嵬nw
𤸆	疒韋bw
𤺉	疒爲bw
𤻅	疒愛ba
𥅵	.ov
𥉖	目恚oh
𥊪	目爲ow
𥌰	目遺oy
𥒮	石尾uw
𥧙	穴未xw
𥯜	𥫗畏vw
𥯤	𥫗韋vw
𥶽	𥫗衛vw
𦇅	糸貝sb
𦓽	耒委lw
𦝛	月韋ow
𦠻	月費of
𦩝	舟胃vw
𦩬	舟威vw
𦪒	舟貴vg
𦳢	艹胃cw
𦾛	艹暐cw
𧍥	虫畏iw
𧍫	虫韋iw
𧐌	虫唯iw｜唯虫wi
𧔥	虫遺iy
𧕞	虫魏iw｜魏虫wi
𧚷	衤儿ye
𧛚	衤畏yw
𧝕	衣圍yw
𧟼	.yg｜覀圭xg
𧢒	見微jw
𧢧	.js｜崔見cj｜見冏jj
𧤖	角畏jw
𧲄	豕爲uw
𧲗	豕月uo
𧲝	衛豚wt
𧳞	豸隹vv
𧳪	豸胃vw
𧴖	豸歲vs
𧸽	貝遺by
𨃄	足畏zw
𨖿	辶爲zw
𨗨	辶葦zw
𨚘	.ew｜未阝we
𨝀	.eg｜鬼阝ge
𨟗	.ew｜蔿阝we
𨠥	酉危yw
𨢉	酉豈yq
𨪈	金鬼jg
𨴓	門危mw
𨵋	門委mw
𨻒	.em
𨾂	.dy｜隶異ly
𨿭	.ve｜隹左vz｜阝隹ev
𩀣	隹句vj｜句隹jv
𩁌	.vh
𩋾	革韋gw
𩎵	韋佛wf｜佛韋fw
𩏉	亠夂ww
𩏏	.wh｜韋人wr
𩑵	頁未yw｜未頁wy
𩗜	風危fw
𩜧	飠几uj
𩟟	飠皿um
𩠯	首姬uj
𩤸	馬胃mw
𩲂	.gj
𩲄	.gw｜鬼尢gy｜尢鬼yg
𩴞	鬼爲gw
𩹂	魚胃yw
𩹥	魚風yf
𩹷	魚鬼yg
𩼂	.ys
𩼌	魚微yw
𩽎	魚遺yy
𪂄	鳥侈ni｜侈鳥in
𪑐	黑尾hw｜尾黑wh
𪑭	黑奎hk
問	口門km｜門口mk
聞	耳門em｜門耳me
穩	禾急hj｜禾心hx
揾	扌昷fw
搵	扌皿fm｜扌昷fw
韫	韦皿wm｜.ww
紋	糸文sw
溫	氵皿dm｜氵昷dw
穏	.hj｜禾心hx
缊	纟昷sw
呅	口文kw
蟁	虫民im
忞	文心wx
妏	女文nw
脗	月口ok
塭	土昷tw
輼	.iw
馼	馬文mw
鎾	.jw
彣	彡文pw｜文彡wp
昷	皿日mo｜日皿om
緼	糹昷sw
繧	糸雲sy
鼤	鼠文uw
瑥	.ww
轀	車皿im｜.iw
㒚	.ry
㖧	口昏kh
㗃	.kh
㝧	安坐az
䎹	.eb
䎽	耳昏eh
䘇	文蟲wi
䰚	鬲文gw
伆	亻勿rw
抆	扌文fw
桽	木坐mz
榲	木皿mm｜木昷mw
殟	.dw
珳	王彡wp｜.ww
瘒	疒軍bj
縕	糸皿sm｜糸昷sw
肳	月勿ow
蚉	虫文iw｜文虫wi
螡	文虫wi
豱	豕昷uw
閺	門旻mm｜門文mw
閿	門受mu
闅	門攴mp｜.my
闦	門豆md｜.ml
鞰	革昷gw
顐	頁軍yj
饂	.uw
駇	馬攵mw
魰	魚文yw
鰛	.yw
鰮	魚皿ym｜.yw
鳼	鳥文nw
鴍	鳥文nw｜文鳥wn
𠐢	.rw
𡁋	.ky｜口心kx
𢾿	.gw｜鬲攴gp｜攴鬲pg
𣜺	木巴mb｜林巴lb
𣶌	.iw
𤛁	.nw
𤵒	疒文bw
𥁕	皿囚mq
𥃮	目入or｜入目ro
𥦊	穴坐xz
𥧚	穴坐xz
𥬼	𥫗刎vw
𦝮	.oh｜月日oo
𦟕	月昏oh
𦦯	𠂆一pa
𦮶	艹吻cw
𧖁	亠蟲wi｜虫虫ii
𨆲	足心zx
𨜵	.em｜日阝oe
𨟸	酉勿yw
𨶭	門無mw
𨸩	阝攵ew
𩢌	馬文mw
𩥈	.mw｜馬皿mm
𪉸	.lw｜卜皿bm
鎓	金翁jw
甕	亠瓦dw｜瓦隹wv｜亠瓦ww｜瓦雍wy
奣	.ym
罋	.fv｜缶雍fy
㘢	.wg
㜲	女嬴ny
㹙	.ny
㹚	牛營ny
䈵	𥫗翁vw
䐥	月翁ow
䤰	金坎jk
䱵	魚翁yw
勜	力翁lw
塕	土翁tw
嵡	山翁uw
攚	扌營fy
暡	日翁ow
瞈	目翁ow
聬	耳翁ew
螉	虫翁iw
鶲	鳥翁nw
齆	鼻巴bb｜鼻邕by
𠰈	口弘kh
𡍻	土瓮tw
𡩥	宀翁bw
𡻐	山翁uw
𤌏	火翁hw
𥕀	石翁uw
𦞡	月邕oy
𦧅	興興xx｜八興bx
𧚐	十衣uy｜衣冖yb
𧛹	衤翁yw
𨜺	.ew｜翁阝we
𨞑	邕臭yi
𩄘	雨翁yw
𩔚	頁翁yw｜翁頁wy
𩡓	香翁xw
𩮬	髟翁iw
𩰎	鬥戈dg
窩	穴口xk
臥	臣人ir｜人臣ri
楃	木屋mw
仴	亻月ro
蝸	虫咼ig｜虫口ik
撾	扌過fg
枂	木月mo｜.my
萵	艹咼cg｜艹口ck
馧	.xw
齷	齒屋iw
婑	女委nw
涹	氵委dw
濣	氵斗dd｜氵斡dw
瞃	目盾od
㠛	.uh｜.uv
㦱	戈土gt
㧴	扌我fw
㱧	歹宛dw
䁊	目目oo
䠎	足屋zw
䰀	髟委iw
婐	女果ng
媉	女屋nw
捾	扌官fg
猧	犭咼qg｜.qk
瓁	.wh｜王又wy
腛	月屋ow
臒	月蒦oh｜月又oy
𠪧	厂果ig
𠷏	丸咼wg
𠿟	.kx｜口冖kb
𡁮	口窩kw
𡎔	土屋tw
𡑟	土過tg
𡖲	多妥dt
𢦴	戈主gv
𢫷	扌巴fb
𣁳	斗舌du｜舌斗ud
𣂽	斤國jg｜國斤gj
𣇫	日果og
𣚝	木衣my
𤆏	.hx｜.hy｜火亏hk
𤉦	火委hw
𤡓	犭國qg
𤻌	疒過bg
𥑣	石丶ud
𥟿	多委dw
𥪍	立委lw
𦤨	.iw｜自皿zm｜臭皿im
𦯏	艹力cl
𦰖	艹抛cp
𦳹	艹尥cl
𦷵	艹助cv
𧤒	角革jg
𧥋	.jv｜角翟jd
𧶕	貝我bw
𨁟	足我zw
𩈱	宛面wm
𩐦	.yc｜音异yy
𩟓	.uh｜.uv｜食又uy
𩭏	髟妥it
𩭝	髟我iw
𩮑	髟咼ig
𩷯	沃魚wy｜魚沃yw
𪁕	鳥沃nw｜沃鳥wn
𪎤	麻沃mw｜沃麻wm
𪑱	黑屋hw
於	方丶fd
亡	丶𠃊da｜丶𠃊dv
務	矛务mw
吳	口大kd
呉	口八kb
誤	言吴yw
烏	丿灬ph
汙	氵于dy
嗚	口烏kw
霧	雨務yw
汚	.dg｜.dk
橆	.pl｜𠂉林rl
蕪	艹無cw
儛	亻舞rw
乄	㇢丶gd
誣	言巫yw
塢	土烏tw
隖	阝烏ew
悮	心吴xw
甒	瓦無ww
廡	广無gw
杇	木亏mk
歍	欠烏qw
矹	石兀uw
鵐	鳥巫nw
扜	扌于fy
扤	扌兀fw
杅	木于my
玝	王午ww
霚	.ym｜雨攵yw
俉	亻吾rw
剭	刂屋dw
卼	兀危ww
嫵	女無nw
憮	心無xw
摀	扌烏fw
洖	氵吴dw
溩	氵烏dw
潕	氵無dw
熃	火務hw
熓	火烏hw
窏	穴于xy｜宀于by
鋙	金吾jw
鎢	金烏jw
阢	阝兀ew
㐅	丿丶pd
㐳	亻兀rw
㑄	亻母rm
㬳	月午ow
㵲	氵舞dw
㷻	火無hw
